instance,resolution,debug_difficulty,node_count,exec_edge_count,hier_edge_count,step_count,longest_path,avg_out_degree,loop_count,avg_loop_length,backedge_fraction,max_loop_length,min_loop_length,edge_count,most_freq_node,most_freq_node_freq,loc_focus_ratio,loc_dominant_zone,loc_num_clusters,loc_avg_node_freq,repeated_view,max_view_depth,avg_view_depth,max_view_span,avg_view_span,scroll_behavior,num_deep_zooms_without_edit,back_and_forth_switch,zoom_out,patch_total,patch_success,flip_flop,repeat_failed_edit,abandonment,fail_to_success_patterns,fail_streak_max,fail_streak_avg,fail_streak_count,fail_type_not found,fail_type_no change,fail_type_multiple occurrences,fail_type_unknown,fail_type_invalid code
sphinx-doc__sphinx-9281,resolved,under15min,16,19,6,18,12,1.125,3,4.0,0.15789473684210525,7,2,25,6:think,4,0.35,early,2,1.0,False,4,3.33,3,1.75,False,1,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-15268,unresolved,under4h,9,10,5,11,7,1.1111111111111112,2,1.5,0.2,2,1,15,5:str_replace_editor: view,2,0.64,mixed,2,1.17,True,5,5.0,3,1.4,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11211,unresolved,under1h,5,6,1,7,4,1.0,1,2.0,0.16666666666666666,2,2,7,3:think,2,0.29,early,1,1.0,False,2,2.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-24443,unresolved,under1h,12,23,3,23,6,1.5833333333333333,8,2.375,0.391304347826087,4,1,26,3:python,10,0.29,early,4,1.17,True,3,2.5,3,1.67,True,0,False,True,4,4,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-24539,resolved,under15min,7,9,0,10,6,1.2857142857142858,3,3.3333333333333335,0.3333333333333333,5,2,9,0:think,3,0.2,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
sympy__sympy-14531,resolved,under1h,16,17,6,18,12,1.0625,2,3.5,0.11764705882352941,5,2,23,8:python,2,0.39,early,2,1.0,False,4,3.67,2,1.5,False,1,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11141,unresolved,under1h,6,6,2,7,5,1.0,1,1.0,0.16666666666666666,1,1,8,5:submit,2,0.43,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-12308,unresolved,under15min,6,8,2,9,5,1.1666666666666667,2,3.5,0.25,5,2,10,0:think,3,0.33,early,1,1.0,False,2,2.0,2,1.5,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
pydata__xarray-4695,unresolved,under1h,21,45,3,37,11,1.5238095238095237,18,4.388888888888889,0.3111111111111111,8,1,48,1:think,9,0.13,early,4,1.0,False,3,2.5,2,1.33,True,0,False,False,11,8,False,False,False,"('localization',)",2,1.5,2,3,0,0,0,0
pylint-dev__pylint-7277,unresolved,under15min,11,16,0,17,6,1.3636363636363635,5,2.4,0.3125,4,2,16,2:python,5,0.29,early,1,1.25,True,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-14351,unresolved,under1h,18,18,6,18,17,1.0,1,3.0,0.05555555555555555,3,3,24,15:submit,2,0.63,middle,2,1.0,False,4,2.67,3,1.5,True,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
astropy__astropy-13033,unresolved,under1h,10,13,2,14,7,1.3,4,3.0,0.3076923076923077,6,2,15,5:python,3,0.36,early,1,1.0,False,3,3.0,1,1.0,False,0,False,False,2,2,False,False,False,N/A,0,0.0,0,0,0,0,0,0
django__django-11138,unresolved,under4h,4,4,0,5,3,1.0,1,1.0,0.25,1,1,4,3:submit,2,0.2,early,1,1.0,False,1,1.0,1,1.0,False,0,False,False,1,1,False,False,False,N/A,0,0.0,0,0,0,0,0,0
